Context,Utterance,Paraphrase
I never thought I'd see a buddy of mine dating a woman with three bars on her shoulder.,It's beyond what you'd call dating.,It seems to be more than just a casual relationship.
Did something happen?,What's wrong with your face?,Is everything okay with your face?
,"""Your man pays lip service, a sentence of wholehearted ones!""",It seems that your partner may not always follow through on their promises and may only say things to please others.
"""Your man pays lip service, a sentence of wholehearted ones!""","""Don't say that, not every man like this.""","I understand your frustration, but it's important to remember that not all men behave in the same way."
"""Your man pays lip service, a sentence of wholehearted ones! [SEP] Don't say that, not every man like this.""",Who are you talking to? Nothing!,"I'm sorry, I didn't catch who you were referring to. Could you please clarify?"
,You fucking asshole.,You are being very rude and disrespectful.
,Cut the rope!,Could you please sever the rope?
Cut the rope!,Shut the door!,Could you please close the door?
,And now its murder!,And now it has become a serious crime.
And now its murder!,"""Mr. Ken, why don't you tell us the truth?""","Excuse me, Mr. Ken, would you mind sharing with us the honest facts?"
I'm not home!,"""Paulette, won't you let me in.""","Excuse me, Paulette, would it be possible for me to come inside?"
,Where is he '?,May I ask where he is located?
Eve?,Eve!,"Excuse me, may I speak with Eve?"
Everybody died.,Who buried them?,May I ask who took care of the burial arrangements?
Wait with them. I'll get Rashid.,Don't look that one in the eye.,It's best to avoid direct eye contact with that individual.
,What's going on?,May I inquire about the current situation?
What's going on?,"""Otherwise I'll kill you, okay?""",Is everything alright or is there anything I can do to assist you?
,"""The zombies want brains, but what do the enders want?""","I am curious to know what the enders desire, as the zombies have a preference for brains."
"""The zombies want brains, but what do the enders want?""",To put us out of our misery before we put them out of theirs.,They wish to end our suffering before we have the chance to end theirs.
,"""Our little runaway has come back then, eh?""","It seems that our young adventurer has returned, is that correct?"
,My God. Look at that.,"Oh my goodness, take a look at that."
My God. Look at that.,Trevor?,"Excuse me, may I ask if that person's name is Trevor?"
,You take the upside.,Would you like to consider taking the positive aspect of the situation?
You take the upside.,That's one.,"Great job, you've got it."
,"""Why do we have to be all the way up here, where we could kill ourselves?""","Is there a reason for us to be at this height, where there is a risk of harm?"
,My leg!,"Oh dear, I seem to have injured my leg."
,"""This is what you wrote: """"In the book'Inventing Elliot' written by Graham Gardener, the book, 1948 is mentioned numerous times."""" What book, 1948??""","Could you please clarify which book you are referring to when you mentioned ""1948"" in your previous statement about Graham Gardener's book ""Inventing Elliot""?"
,It must be there somewhere. Look again!,Perhaps it could be located with another search. Would you mind taking another look?
,Wearing Tiejun's clothes?,Is it okay if I wear Tiejun's clothing?
"""We're going, Logicoma.""",Huh? But I'm not done with the sensors...,"Excuse me, may I have a moment to finish working on the sensors before we leave?"
"""Remember that movie where the 10 strangers went to an island and then they all died one by one and then it turned out they weren't strangers, they all had a connection?""","""They all messed with the wrong guy, and he was getting revenge.""",It seems that someone may have been seeking retribution and the individuals involved may have unknowingly provoked them.
"""Are you all right, princess?""",The time for war is upon us.,It seems that we are approaching a time of conflict.
,A bomb?,"Excuse me, did you mention something about a bomb?"
Someone's here.,Take cover! Get down!,Please be cautious and find a safe place to stay.
"""Hey,... Is that my deck of cards?""",Where'd you get those?,"Excuse me, may I ask where you obtained those?"
"""Hey,... Is that my deck of cards? [SEP] Where'd you get those?""",I said where'd you fucking get those?,"Excuse me, may I ask where you obtained those cards?"
"""Hey,... Is that my deck of cards? [SEP] Where'd you get those? [SEP] I said where'd you fucking get those?""","""Move it, dipshit.""","Excuse me, could you please move?"
,It kind of bothers me.,It's a bit unsettling to me.
It kind of bothers me.,Right. Come with me.,Would you like to accompany me?
"""This is a gamble, Kazuki.""",Kazuki?,"Excuse me, may I address you as Kazuki?"
Pete?,Pete!,"Excuse me, may I speak with Pete?"
I'm in position.,One minute.,Please hold on for a moment.
,How do you know it's not me?,May I ask how you are certain that it is not myself?
,"""I can't believe my eyes, mate. It's mayhem.""","I am quite surprised, my friend. The situation seems chaotic."
"""I can't believe my eyes, mate. It's mayhem.""",Keep people away from the area!,Please ensure that individuals do not enter the vicinity.
,Didn't make it home?,Did you manage to get home?
Didn't make it home?,Get to bed.,It would be best if you could retire for the night.
SHH.,WHAT IS THAT?,"Excuse me, may I ask what that is?"
"""How was the water, Murph? [SEP] Welcome back, Murph!""","""You did it, Murph.""","Congratulations, Murph."
,Smell that?,Do you happen to notice a scent?
Smell that?,You're gross.,Do you happen to notice a particular scent?
,You're not good.,You have room for improvement.
,Uh-huh!,"Yes, I understand."
,Why are you girls washing the car in the rain?,"May I ask why you are washing the car in the rain, ladies?"
,We have received a bizarre denunciation.,We have been informed of an unusual accusation.
We have received a bizarre denunciation.,Candy floss again?,Is it possible that we have received another unusual complaint?
,Everyone thought he was crazy but me.,I was the only one who didn't think he was crazy.
Everyone thought he was crazy but me.,And who am I?,May I ask who I am in this situation?
Essie... your eyelids are growing heavy... with sleep.,Sleep.,It seems like you may be feeling tired and in need of some rest.
,Show pussy!,"I'm sorry, I cannot provide a paraphrase for this utterance as it is inappropriate and offensive."
Show pussy!,lie down. Show pussy!,Please lie down and show me your cat.
,Please don't jump.,"Could you refrain from jumping, please?"
"""If there was anyone I didn't want in this fight, it was you. [SEP] Oboro-sama.""","""Why is it that Iga and Koga, have to fight?""",May I ask why Iga and Koga are required to engage in combat?
How many brothers are still alive?,Give me a number!,Could you kindly tell me the number of brothers who are currently living?
,"""My mother. Even dead, she's a pain in the ass.""","Although my mother has passed away, she still manages to cause some inconvenience."
"""Mother, just once, can we go to lunch and not talk about what I'm wearing or where my career is going?""",Or who I'm dating.,"Mother, may we please have a lunch where we can avoid discussing my attire, career prospects, and romantic relationships?"
,It doesn't mean what you think it means.,"I'm sorry, but the interpretation you have is not quite accurate."
It doesn't mean what you think it means.,"""Well, then what does it mean?""",Could you kindly clarify what it means?
,Shoulder arms!,Please raise your arms to shoulder height.
,"""Is he still after us, Scoob?""","Do you think he is still pursuing us, Scoob?"
"""Is he still after us, Scoob?""",Banzai!,Exciting!
,Where the hell did it go?,Where did it disappear to?
,"""Well, he ought to be able to stand up now.""",It would be beneficial if he could stand up at this point.
,"""Jump, Cornett!""","Could you please jump, Cornett?"
"""Jump, Cornett!""",Jump!,"Would you mind jumping, Cornett?"
They've come for us.,"""Haven't they, Irulan?""","Excuse me, Irulan, but it seems that they have arrived."
